iter	RMSE
242	49543.69783
243	49541.2128
244	49539.28857
245	49536.60407
246	49535.22292
247	49533.57696
248	49530.9286
249	49528.66328
250	49526.55776
251	49523.68664
252	49520.43195
253	49516.32986
254	49512.62698
255	49510.22057
256	49506.9893
257	49504.56073
258	49503.14555
259	49500.69679
260	49497.91656
261	49495.94064
262	49494.49926
263	49491.69545
264	49488.98426
265	49487.21957
266	49484.26382
267	49481.59802
268	49479.64567
269	49477.31313
270	49475.78062
271	49473.50703
272	49470.88644
273	49468.09048
274	49465.65675
275	49463.4423
276	49460.76726
277	49458.44338
278	49455.93254
279	49453.17745
280	49450.41516
281	49448.11536
282	49445.45521
283	49443.98244
284	49440.92323
285	49438.85728
286	49436.52975
287	49434.92697
288	49432.56625
289	49430.39029
290	49427.2847
291	49425.12309
292	49422.48195
293	49419.76239
294	49418.13916
295	49416.13548
296	49413.93223
297	49411.33421
298	49409.11885
299	49406.90361
300	49404.72176
301	49402.72917
302	49400.42448
303	49398.58342
304	49395.69706
305	49392.66655
306	49389.69593
307	49386.74523
308	49384.72075
309	49382.83474
310	49380.63265
311	49377.64653
312	49375.41481
313	49374.1656
314	49371.90141
315	49369.48028
316	49365.42489
317	49362.94026
318	49360.99391
319	49358.77783
320	49357.02006
321	49353.93744
322	49351.74177
323	49349.54241
324	49346.09038
325	49343.58592
326	49341.90205
327	49339.3659
328	49336.59526
329	49334.18611
330	49332.13161
331	49330.46145
332	49328.3881
333	49326.1702
334	49323.99213
335	49320.64147
336	49317.84676
337	49315.58113
338	49314.26405
339	49312.19683
340	49310.28766
341	49307.98944
342	49305.56336
343	49303.21181
344	49300.98105
345	49299.51219
346	49297.78134
347	49296.23469
348	49293.85992
349	49290.98391
350	49288.31447
351	49286.83773
352	49284.91615
353	49283.01286
354	49280.96265
355	49279.73394
356	49278.07587
357	49275.96
358	49274.01046
359	49271.47198
360	49268.57121
361	49265.77428
362	49264.11351
363	49261.7657
364	49259.05699
365	49256.62087
366	49254.75296
367	49251.63182
368	49249.89072
369	49247.59764
370	49244.91943
371	49243.09081
372	49240.59715
373	49238.10709
374	49235.62653
375	49233.69181
376	49232.01098
377	49229.77037
378	49227.73436
379	49225.06376
380	49222.73273
381	49220.29708
382	49217.73524
383	49216.06502
384	49213.27967
385	49211.16297
386	49209.58306
387	49207.94508
388	49206.06461
389	49203.66015
390	49201.47338
391	49199.59406
392	49198.13072
393	49195.44072
394	49194.00955
395	49192.38991
396	49190.83427
397	49188.15696
398	49186.2403
399	49183.61834
400	49181.18066
401	49178.65043
402	49176.37671
403	49174.66489
404	49171.96857
405	49170.45502
406	49166.93294
407	49165.01721
408	49162.63026
409	49160.47334
410	49158.80369
411	49156.57809
412	49155.00944
413	49153.90472
414	49151.16376
415	49148.76547
416	49146.73726
417	49144.56858
418	49143.02001
419	49141.57778
420	49139.34609
421	49137.84678
422	49135.02302
423	49133.18058
424	49129.6955
425	49126.67554
426	49124.623
427	49122.23439
428	49120.12981
429	49117.85465
430	49115.20363
431	49113.52845
432	49111.54115
433	49109.38462
434	49106.72502
435	49104.40508
436	49101.72385
437	49099.433
438	49097.72228
439	49096.07631
440	49093.52869
441	49091.27954
442	49089.43424
443	49087.71701
444	49085.70065
445	49082.69393
446	49081.1014
447	49078.27016
448	49075.86813
449	49074.208
450	49071.26971
451	49069.95733
452	49068.19712
453	49066.47927
454	49064.14739
455	49062.58041
456	49061.34666
457	49058.50744
458	49055.36848
459	49053.69429
460	49051.74485
461	49049.72235
462	49047.83486
463	49046.8474
464	49044.5167
465	49042.42644
466	49040.25475
467	49038.8664
468	49037.26917
469	49035.18117
470	49033.18844
471	49031.66791
472	49028.85252
473	49027.04674
474	49025.50962
475	49024.35807
476	49022.42676
477	49020.4475
478	49018.35495
479	49016.4505
480	49015.20641
481	49013.39821
482	49011.09766
483	49008.79474
484	49006.91095
485	49004.31955
486	49002.2719
487	49000.8874
488	48999.22149
489	48997.11107
490	48995.60324
491	48993.6809
492	48991.61897
493	48990.28414
494	48988.03561
495	48985.96396
496	48982.92824
497	48981.33339
498	48979.59155
499	48977.07954
500	48974.37673
501	48971.34444
502	48969.97473
503	48968.54538
504	48966.41485
505	48964.28672
506	48962.83973
507	48960.59083
508	48958.33103
509	48957.48643
510	48955.89056
511	48954.07952
512	48951.53108
513	48949.47671
514	48947.65961
515	48945.69131
516	48944.28113
517	48942.71251
518	48940.49733
519	48938.59682
520	48936.67734
521	48934.28379
522	48932.93306
523	48931.43173
524	48928.80951
525	48926.36726
526	48924.36575
527	48923.51358
528	48921.31627
529	48919.05157
530	48916.82815
531	48914.92481
532	48912.31536
533	48909.60885
534	48906.45931
535	48905.29609
536	48903.07066
537	48900.71411
538	48899.82493
539	48898.58223
540	48896.7069
541	48895.16303
542	48892.70698
543	48890.60863
544	48889.32238
545	48887.77981
546	48886.89479
547	48885.80589
548	48883.71765
549	48881.12921
550	48878.73035
551	48876.20485
552	48875.08932
553	48872.60955
554	48870.4941
555	48868.73611
556	48867.13948
557	48865.64377
558	48864.7088
559	48863.49643
560	48861.96327
561	48860.7471
562	48859.09714
563	48856.90891
564	48855.69102
565	48854.30671
566	48852.13234
567	48850.9765
568	48849.2565
569	48846.56504
570	48844.56447
571	48842.80893
572	48841.12561
573	48839.73161
574	48838.28197
575	48835.31249
576	48834.41562
577	48832.22327
578	48830.13187
579	48828.32864
580	48827.35204
581	48824.14355
582	48822.41898
583	48820.47936
584	48818.2957
585	48816.28955
586	48815.24871
587	48813.69434
588	48811.17535
589	48809.6592
590	48808.28795
591	48806.17263
592	48803.97926
593	48802.40737
594	48800.68592
595	48798.9968
596	48797.24166
597	48795.1736
598	48792.81394
599	48790.55292
600	48788.27653
601	48787.28924
602	48785.91289
603	48784.651
604	48783.27203
605	48781.25811
606	48779.84973
607	48778.35935
608	48776.29382
609	48774.87443
610	48772.50324
611	48769.74058
612	48767.71571
613	48764.96087
614	48762.61527
615	48761.02425
616	48758.87209
617	48756.90092
618	48755.18988
619	48753.39775
620	48751.76945
621	48750.31304
622	48747.99914
623	48746.03059
624	48744.32474
625	48742.72627
626	48740.6812
627	48739.43917
628	48737.33553
629	48735.27315
630	48733.67146
631	48732.41592
632	48730.08628
633	48728.60819
634	48726.02401
635	48724.74375
636	48723.23647
637	48721.87152
638	48720.20186
639	48718.73963
640	48715.81944
641	48712.90246
642	48711.85502
643	48709.94538
644	48707.81437
645	48705.54349
646	48704.12645
647	48702.72503
648	48700.43554
649	48698.44971
650	48695.28916
651	48693.59101
652	48691.74901
653	48688.76389
654	48687.47075
655	48686.46502
656	48684.14273
657	48682.00944
658	48680.57609
659	48679.09326
660	48677.38895
661	48675.22346
662	48673.30091
663	48671.79539
664	48669.22759
665	48667.54758
666	48665.94814
667	48664.7967
668	48663.99425
669	48661.20608
670	48659.77708
671	48658.19677
672	48656.45223
673	48654.69046
674	48652.94104
675	48651.25206
676	48650.52054
677	48649.00374
678	48647.3803
679	48645.76488
680	48643.86096
681	48642.31861
682	48640.69433
683	48639.29926
684	48637.64099
685	48635.9096
686	48633.17472
687	48631.22047
688	48628.82835
689	48627.42232
690	48626.03721
691	48624.88081
692	48622.33252
693	48620.52024
694	48618.81382
695	48617.0771
696	48615.3936
697	48613.2077
698	48612.15801
699	48610.64177
700	48609.30142
701	48607.77822
702	48605.26791
703	48603.33801
704	48602.07622
705	48600.64733
706	48598.7675
707	48596.87687
708	48595.34513
709	48593.83952
710	48593.09394
711	48591.27139
712	48589.82941
713	48589.06489
714	48587.66879
715	48586.12659
716	48584.46481
717	48583.42016
718	48581.91439
719	48579.32257
720	48576.99973
721	48575.287
722	48573.02776
723	48571.80998
724	48570.51808
725	48568.72567
726	48567.23476
727	48566.10486
728	48564.46084
729	48563.43078
730	48560.83084
731	48558.37175
732	48555.62354
733	48552.88603
734	48551.82375
735	48549.31485
736	48548.39396
737	48546.59098
738	48544.75205
739	48543.53016
740	48542.0911
741	48540.80878
742	48539.5308
743	48538.59184
744	48536.66387
745	48535.65741
746	48533.72036
747	48531.34217
748	48530.20878
749	48528.97901
750	48526.22393
751	48524.51382
752	48522.71966
753	48521.50055
754	48519.59454
755	48517.52942
756	48516.54867
757	48515.26383
758	48512.84764
759	48510.39234
760	48509.26051
761	48507.44503
762	48505.59154
763	48503.74278
764	48501.73563
765	48499.26921
766	48498.67023
767	48496.61824
768	48495.14932
769	48493.88722
770	48492.48085
771	48490.84309
772	48488.70117
773	48487.22058
774	48484.95379
775	48483.381
776	48482.48564
777	48480.17113
778	48478.99274
779	48476.25686
780	48473.86369
781	48473.07587
782	48471.90821
783	48470.70234
784	48468.7179
785	48466.94128
786	48466.17739
787	48464.37014
788	48462.77867
789	48460.59769
790	48458.2783
791	48456.48716
792	48454.67976
793	48453.18574
794	48450.93901
795	48448.91303
796	48447.45984
797	48445.79227
798	48444.47612
799	48443.62063
800	48442.42202
801	48440.87971
802	48438.87761
803	48437.58092
804	48435.34699
805	48434.37452
806	48432.75594
807	48431.68188
808	48430.11834
809	48428.72393
810	48427.03292
811	48424.86306
812	48423.23681
813	48421.98258
814	48420.02425
815	48417.79739
816	48415.81775
817	48413.4122
818	48410.73696
819	48408.48418
820	48407.14071
821	48405.52025
822	48403.72738
823	48401.72583
824	48399.18214
825	48398.00813
826	48396.59636
827	48394.34513
828	48392.18656
829	48390.78554
830	48388.22478
831	48386.52001
832	48384.01994
833	48381.96299
834	48380.66119
835	48379.9596
836	48378.13749
837	48376.24618
838	48375.35093
839	48373.87211
840	48372.80843
841	48371.5688
842	48370.28517
843	48367.50558
844	48365.86128
845	48364.57888
846	48362.98504
847	48361.48011
848	48360.0448
849	48358.6549
850	48357.21548
851	48355.1194
852	48353.33461
853	48351.14827
854	48349.80237
855	48348.65052
856	48346.87352
857	48345.79346
858	48344.35945
859	48343.12273
860	48341.63231
861	48340.54393
862	48338.93354
863	48337.70797
864	48335.61525
865	48334.29014
866	48333.11949
867	48331.09307
868	48329.98941
869	48328.63875
870	48327.24723
871	48325.12602
872	48324.53355
873	48322.77503
874	48321.72114
875	48319.64822
876	48318.43371
877	48317.60155
878	48316.14809
879	48314.2187
880	48311.95016
881	48310.19282
882	48308.02229
883	48305.97068
884	48304.40349
885	48302.47192
886	48301.52012
887	48300.00422
888	48298.70575
889	48297.4212
890	48296.43104
891	48294.99166
892	48293.85839
893	48292.63246
894	48291.16907
895	48289.4115
896	48287.7233
897	48285.83063
898	48284.65473
899	48283.08701
900	48281.53675
901	48279.96655
902	48278.40628
903	48276.70108
904	48274.90467
905	48273.64874
906	48271.84938
907	48270.78586
908	48269.11508
909	48267.5434
910	48265.70875
911	48264.42043
912	48262.60113
913	48261.49631
914	48259.33954
915	48256.55262
916	48255.40636
917	48253.50933
918	48252.4806
919	48249.18812
920	48247.35523
921	48246.25949
922	48244.66396
923	48242.73552
924	48242.01703
925	48240.38152
926	48239.33224
927	48237.53076
928	48235.05871
929	48233.14933
930	48232.21284
931	48230.06457
932	48229.45804
933	48227.32785
934	48226.37453
935	48224.56569
936	48223.39692
937	48221.61872
938	48219.94484
939	48218.72944
940	48217.83528
941	48215.45404
942	48214.0336
943	48212.45997
944	48210.86663
945	48209.26435
946	48207.61087
947	48205.18703
948	48204.03363
949	48201.83342
950	48200.31593
951	48198.83679
952	48197.50833
953	48194.81185
954	48193.18997
955	48191.81513
956	48189.72021
957	48188.33587
958	48186.85633
959	48185.66252
960	48184.43914
961	48182.71574
962	48181.83659
963	48179.62148
964	48176.99731
965	48174.16649
966	48172.20305
967	48171.07585
968	48169.78817
969	48168.64502
970	48167.76255
971	48166.77329
972	48165.00121
973	48163.03698
974	48161.07794
975	48158.79677
976	48157.33087
977	48156.27557
978	48154.99564
979	48154.31011
980	48152.97769
981	48151.2482
982	48149.50004
983	48147.94542
984	48146.03215
985	48143.91748
986	48142.01847
987	48140.51849
988	48138.64869
989	48137.25575
990	48135.1882
991	48133.67931
992	48131.973
993	48130.27985
994	48127.78741
995	48126.54217
996	48124.68017
997	48123.43676
998	48121.77561
999	48119.85634
